ym,swap_spot_mean,swap_spot_max,ss_z_max,rng_z_max,lv_z_min,lv_z_max,fund_proxy
2016-01,5.424745357243041,9.013404825737265,,,,,0
2016-02,5.709865776111924,7.950303631181064,,,,,0
2016-03,6.922640657415068,13.289082169832914,0.3226297687499277,0.0013597990805547671,-0.2834223097710074,0.8396322278226643,0
2016-04,7.468032938819768,11.809866811633595,2.5424038937921423,6.161652568732698,-1.8313546934451936,2.4312949178872016,3
2016-05,6.768633160510162,13.866058469832055,2.9572335084398382,0.6211751945241014,-2.2199160221731646,1.451506463450774,1
2016-06,6.431454549737927,10.744869402985074,1.6913234399614192,6.629122712023765,-1.895078060574569,3.2787721149413653,2
2016-07,5.417174569918131,8.748387096774193,1.0987438641790062,2.069898673205846,-2.595317643753975,2.0427755593498964,1
2016-08,7.781209920030119,11.036031707902955,2.276890815118495,0.26585527258277597,-1.6489770832664878,0.43171137021509093,1
2016-09,7.136344932297601,11.26032315978456,2.0617439243380016,2.0724457459095578,-1.6115362070182415,1.750945857928564,1
2016-10,7.514980282897222,10.687563884156729,1.6694376361627437,0.7023123648285398,-1.40501880694751,1.723617794671446,0
2016-11,4.658009404548911,10.179690075832509,1.407696467656398,6.567839504531686,-0.9839489848840236,4.550375449790818,2
2016-12,5.910341510946459,9.25907014243483,1.30168545571471,0.5040090560731156,-3.6307382623727635,1.2622678306193083,0
2017-01,4.845418996888134,6.556749785038693,0.7460844980346149,1.7403800976775845,-0.6559277895354548,1.2240500479425769,0
2017-02,6.654672176522314,8.99438202247191,2.2290382093753425,0.19430452024630746,-2.4805610946537793,0.5211335114315799,1
2017-03,5.171084971153603,9.743235188937895,2.6605283594463756,0.7777445155886211,-1.3116053658668323,1.8442044599245284,1
2017-04,8.173428307152795,11.159807073954983,2.7437566932893485,1.5594444704262609,-3.5133611519248116,1.3654129557580776,1
2017-05,6.711453806856507,12.585608389079733,2.727965657598313,2.2243986522607715,-2.125182662221179,1.9647459279791568,1
2017-06,6.772195008048225,12.285654008438819,2.327004521716486,2.856093343281518,-1.5719669597367785,1.5065015660607934,2
2017-07,6.373155569870744,9.895488842510836,1.538057084412309,1.7161352858019447,-0.8735593708917196,1.2344883733638818,0
2017-08,6.95116937023004,11.65055910543131,2.5285027895130465,2.5213051973356646,-2.2866060563215345,1.9218959320375295,2
2017-09,6.037285676146128,11.300266058532877,2.4441639877158945,4.045953807447552,-1.7245199201275097,2.2187558264468756,3
2017-10,7.531836086241448,13.25704963877884,2.8225654275577514,1.800220227232682,-2.2644775926618617,1.5771390164290413,1
2017-11,7.327085232393638,11.912368672397326,2.112828601988743,1.493267917786043,-2.1418907338982978,1.0216531727180658,1
2017-12,6.871309661537259,10.710408206881812,1.6049534919343704,1.6551830889339254,-5.283495154725338,1.5645986270257723,0
2018-01,6.4007271074493115,11.881853920960067,2.029469092273734,3.766795147495001,-0.9768566193566846,1.8340664953502028,2
2018-02,6.556482483708456,10.061647213545948,1.871983111238893,3.1611662616638045,-0.7925379752385169,1.7654974043783502,1
2018-03,5.645214313325785,10.180227145782908,2.1771459088665117,1.1659909670536912,-2.202796227577245,1.3037248676786335,1
2018-04,8.665218749756612,19.493125572868927,4.825844391849738,0.33317284965047766,-2.652428377857068,0.12337443501779963,1
2018-05,8.808293459923197,15.180851063829786,2.8559999757681305,2.82911719083349,-2.438051593976957,0.8422505304455148,2
2018-06,8.288880702108305,13.066073354908307,1.604464589723694,3.3658590825544055,-2.1694708540900773,1.6194981226073706,1
2018-07,8.73972627462862,19.673411318368636,3.5117109676305103,1.8011502318812878,-2.7109038292981382,1.8902509083293606,1
2018-08,8.950557238535534,13.706582633053221,1.990581655607534,1.1653406440643845,-1.5566978740478379,1.4971393527258365,0
2018-09,10.369995472627698,14.688952449052556,2.153644028293971,1.6539719990504151,-2.8882708804436463,2.1489452713314554,2
2018-10,9.793161632916725,14.146788990825687,1.7474811958727676,1.2875580577114818,-0.7902892982530156,1.7746758689775384,0
2018-11,9.17886175790272,14.660714285714286,2.078058986130535,3.5450528829760226,-1.5551784061010268,2.344681272408896,3
2018-12,6.745498857072465,11.293623780349444,0.8723828704475849,3.110994555594956,-1.9475046079085814,2.0088273116022966,2
2019-01,9.681998982323652,14.239675516224189,2.035079419857289,3.510551322762857,-1.311813915243267,2.115678409324687,3
2019-02,9.381007205188395,15.278319254927442,2.3335009546922336,0.26826827987616586,-2.2552131486282705,0.9184623640353399,1
2019-03,7.293662996137554,13.68403660396543,1.8494266352894777,2.1060577277148957,-1.9842682617425818,3.39156484660579,1
2019-04,9.330840841404463,21.438283510125363,4.326483875264199,1.7649010755470473,-3.9875801758641547,2.132681028534033,2
2019-05,7.451138733710777,13.27061310782241,1.546509126985904,4.097631036314961,-1.3964745193470292,1.8781214795984895,1
2019-06,6.958534420194745,10.179337598795634,0.7276038743155897,2.780281916720277,-0.8407796662510879,1.7576749054842984,1
2019-07,11.700059622582858,16.721402660217652,2.4369088346570837,1.4135299559614614,-2.6498542714481745,0.6032687765101131,1
2019-08,8.781562285291788,14.721655791190864,1.8227972943118664,5.252355414885715,-1.5786145215337475,2.3084558952122842,2
2019-09,8.508104208971858,13.701860666378192,1.2534653619253469,0.990649355352142,-1.454794282210253,1.105788440989284,0
2019-10,11.132020720587276,16.72803226735811,2.477240980784176,1.2003105502305633,-2.233139079822873,1.02763192119767,1
2019-11,8.116981723232843,11.098612593383137,0.667438822624195,0.5958978769416012,-1.2479930847452474,1.1059935367044178,0
2019-12,11.225595028722609,16.73773690078038,2.3747313484378725,3.954924794593696,-4.377785125288345,1.5740417432175287,2
2020-01,10.157006241295166,13.964021164021164,1.2792539227031787,3.937011283275427,-2.145311324412621,2.5295055495448446,2
2020-02,9.078710773672881,14.89516129032258,1.8084328677977701,3.3846674596305477,-2.586948012156729,3.241377546535306,2
2020-03,6.286811145259163,9.73406862745098,0.41415987843915514,6.3966594937991275,-0.3890320607634935,3.0387202901242873,2
