ym,days,close_eom,ret_m_pct,rv20_max,rv20_mean,max_abs_ret_pct,max_range_pct,sig3_days,vol_spot_mean,vol_band
2016-01,19,120.63,1.3772597817532648,,,1.5370781275843939,2.578131476415485,0,11400.105263157895,
2016-02,20,112.99,-7.0307757301984175,17.069425011314248,14.930055939901607,2.3959571208141344,1.4135807822391897,0,10804.2,無秩序
2016-03,22,112.43,-0.47029679832636395,15.456237114287601,11.475783129282341,1.6769835349845812,1.1453113815318423,0,8412.227272727272,無秩序
2016-04,20,108.4,-3.516766248813583,14.21760006701388,11.664453762635885,2.5592216825204703,3.533210332103319,1,9299.6,警戒
2016-05,19,111.14,4.358509094423106,16.227616815737555,14.668662459662572,1.8622512098001798,0.9158660321450983,0,8299.157894736842,無秩序
2016-06,22,102.7,-6.921355469710017,13.099622421149176,11.494567343246203,2.1980998224230444,7.372914241365924,0,9371.318181818182,警戒
2016-07,20,103.63,1.0476378677736349,14.319817147623201,11.991880102191777,2.0723175058828867,2.9335134613528964,0,9689.95,警戒
2016-08,22,103.28,0.8557033932979605,15.283029645555887,13.394654509338483,1.8448705552333065,1.1901249139372416,0,7490.681818181818,無秩序
2016-09,20,100.9,-2.6117785241224065,12.39610792615723,11.547086433972115,1.7666752007898037,1.7580043213514105,0,8286.5,警戒
2016-10,20,104.92,3.4125063841590046,11.5576527198995,8.512845694006394,0.9813621448324671,1.0301338211225504,0,7919.4,
2016-11,20,112.73,7.160682079787435,15.806614850919933,11.840775969600413,2.201256456989296,4.141668279465842,2,11889.0,無秩序
2016-12,21,117.11,2.5425098365810177,15.847423051648446,13.358999903539743,2.2783945625221023,0.9481169344219106,1,8716.142857142857,無秩序
2017-01,19,113.53,-3.853275593538551,14.419651643674841,12.881637007901034,1.7440811410287103,1.59551530832256,0,10849.105263157895,警戒
2017-02,20,112.31,-1.1156481928610125,12.917293774524158,10.39877039544282,1.3174955150258765,0.8629039358985559,0,8061.05,警戒
2017-03,22,111.8,-1.5003166592048736,10.365867552562921,8.864655942817349,1.2898875809376804,0.8018327605956441,0,9861.681818181818,
2017-04,20,111.29,-0.12571840736288134,9.895446724925566,8.881894527145107,0.8562081957925939,0.7775065545610699,0,7087.1,
2017-05,20,110.96,-0.7899502478924063,9.11042829382854,8.150899912804798,1.3699457657747416,0.7381058248110256,0,8150.55,
2017-06,22,112.06,0.9414154792582745,8.945187171243786,8.547424040485394,1.513326873496439,0.8483079449055977,0,8125.818181818182,
2017-07,20,110.63,-1.942503901713901,8.277800283711205,7.259324976171281,0.931146709119177,0.6608511763150938,0,8542.15,
2017-08,22,110.49,0.2537382421633121,9.095385926113373,7.6458511639562765,1.3819832815195614,0.7794090991480872,0,8144.818181818182,
2017-09,20,112.46,2.048221081948501,10.767948125728207,9.886601638143606,1.1534153245286518,1.1019781410893315,0,8962.35,
2017-10,21,113.09,0.08846426620809027,9.700797174169203,7.107409886085791,0.5751973736685252,0.7235506926674253,0,7303.238095238095,
2017-11,20,112.29,-1.4236059868689133,6.500857248477023,5.718431670592353,0.7419028443057014,0.6573103570794057,0,7896.95,
2017-12,21,112.65,0.01775568186483519,7.1311095025955975,6.617729685862641,0.8140917450156856,0.5619480867005705,0,7023.952380952381,
2018-01,19,108.7,-3.5072285908716716,6.4208158048706165,5.826353203058047,0.9233341600710299,0.9112024298731428,0,9705.368421052632,
2018-02,19,107.08,-2.3169910823149156,9.403994371063447,8.07247757008201,1.2908163738029061,1.0300668151447656,1,10504.526315789473,
